,Unnamed: 0,Job Type,Title,Location,Company,Job_Url,Job_Description
2766,2766,ai machine learning developer,Algorithm Developer – 3 Month Term,"Calgary, AB",    Onstream Pipeline Inspection Services,https://ca.indeed.com/viewjob?jk=07473f72de4d872a,"Who We AreAt Onstream Pipeline Inspection Services Inc., we utilize advanced technologies to provide reliable and accurate pipeline inspection results to oil & gas producers and pipeline operators working in the North American marketplace, with a focus on continual technological and software advancement.We have experienced incredible growth over the past few years thanks to our brilliant team of talented designers, programmers, and technicians. We have created cutting edge technology that make us one of the most versatile, responsive and agile players in the market, and we’re just getting started!We are currently seeking an Algorithm Developer to join our dynamic Algorithm duo on the Technology team. This is a 3 month term position with possibility to extend. We will be filling this position quickly so please submit your resume ASAP!YouYou are a versatile and skilled analytical professional with a passion for solving complex problems with innovative solutions. You are comfortable with all concepts of MFL signal processing and have a passion for software and development. You are comfortable with your skills and knowledge and have the energy and drive to work through challenges to develop a reliable solution.Essential FunctionsDevelop and improve MFL metal loss sizing algorithms utilized in the pipeline inspection industryEnhance search algorithms utilized in automatic feature recognition and identification processesAnalyze feature excavation results and incorporate this information into sizing modelsImprove and develop pipeline geometry analysis including dent and bend strain analysisEnhance test feature set to meet development needsWork with software programmer to implement, test and verify functionalityExperience / Skill SetUniversity Degree in Engineering, Mathematics or PhysicsSelf-Driven: Ability to work diligently and achieve results with minimal supervision2+ years industry experience with algorithm and signal processing techniquesStrong background in mathematics and signal processingFluent in MATLAB or Python or similar high-level prototyping languageKnowledge in Neural networks/AI/ML (Machine Learning)Digital Signal/Image processing knowledgeRelational database technologies (schema design and DB programming)Strong communications skillsProblem SolverJob Types: Full-time, TemporaryExperience:algorithm and signal processing: 2 yearsEducation:Bachelor'sLocation:Calgary, AB"
2767,2767,ai machine learning developer,Data Science Developer - Student,"Calgary, AB",    ExxonMobil,https://ca.indeed.com/viewjob?jk=a1ff6b36a7db7ab9,"Data Science Developer - Student Location: Calgary, AB, CA Company: ExxonMobil   Job description  As a member of the Architecture & Technology team, you will work closely with Technology Architects to develop prototype solutions using machine learning and deep learning to address challenging business problems. This may involve technologies, such as Python, Scikit-Learn, Tensorflow, cognitive API frameworks and others. This includes interfacing with business and technical contacts, seeking new and innovative approaches, developing prototypes and explaining ideas to a broad audience.  Examples of specific job responsibilities:  Development of Prototype Solutions Leveraging Machine Learning Learning about a spefic business opportunity or problem Seeking innovative solution approaches involving data science/machine learning/artificial intelligence Acquisition and preparation of data needed for development of models Development of predictive models Documentation and presentation of key ideas   Evaluation of New Technologies and Frameworks Participate in evaluation of new products and solutions Advise on technologies used by these products   Development of prototype solutions Using Pre-built Components Utilize technologies, such as Amazon Alexa, Cognitive APIs from Microsoft/Google/Amazon and Microsoft Bot Framework to build prototypes and demonstration solutions   Technology Awareness Learn about latest advances in deep learning and data science Reproduce algorithms described in published research in the area of deep learning using company’s computing plafroms and data Learn about latest AI offerings from vendors, such as Microsoft, Amazon, Google and others Learn about existing tools/technologies that are offered by ExxonMobil IT    Qualifications  Academic: 3rd or 4th year Computer/Electrical/Software Engineering, Computer Science, Mathematics or Statistics students interested in a career in data science Enrolled in Masters-level degree program in the area of Machine Learning, Data Science or Computer Science preferred To be considered for employment, your most recent unofficial transcript(s) must be submitted with your application   Other: Ability to build data preparation scripts using Python and other higher-level tools Ability to write machine learning models in Python utilizing libraries, such as Scikit-Learn and Tensorflow Interest in learning about latest advances in machine learning and deep learning Strong interpersonal, listening, verbal and written communication skills Ability to work effectively in a team environment to accomplish organizational goals Demonstrate sound analytical and problem-solving skills Highly motivated individual able to work with minimum supervision Capability to rapidly learn and apply new IT technologies and then to teach and train others Flexibility in dealing with changing priorities and short deadlines  Start date: September 2018 (start date negotiable) Work term: 12 months preferred, 8 months considered Location: Calgary, Alberta    Your benefits  This position will provide you with an opportunity to leverage your skills in support of a large integrated energy company. For example: Work in a high caliber, collaborative learning environment Receive on-the-job experience, coaching and training Gain technical and business background in the operations of the oil & gas resource industry through participation in various networking programs Work with a geographically dispersed team Work directly with the client business unit to deliver IT solutions to meet critical business needs    Who we are  At ExxonMobil Business Support Centre Canada ULC (EMBSCC) we are an integral part of a worldwide network of business support centres that provide financial, technical, information service, transactional, and customer service support for ExxonMobil’s global operations. Other considerations For applicants selected to be interviewed, pre-employment background screening will be required. We thank all those who apply; however, only those candidates selected for interviews will be contacted.  Eligibility to work in Canada Applicants must be eligible to work in Canada. Proof of eligibility must be in the form of a Canadian birth certificate, Canadian passport, Canadian citizenship certificate, Canadian certificate of permanent residence or work permit. Document must be current and valid (not expired, cancelled or voided). Work permit must be valid for the duration of the term. Proof of eligibility is required if an offer is made. Failure to provide the appropriate documentation within a reasonable timeframe (generally 6 weeks prior to your start date) may result in the offer being rescinded or a delay in your start date. Application deadline: June 3, 2018     The ExxonMobil Business Support Centre Canada is committed to providing equitable treatment and equal opportunity to all individuals. In certain situations, ExxonMobil may use your application to consider your suitability for other positions within the Company and may also provide the information to its affiliates, including Imperial Oil and affiliates of Exxon Mobil Corporation, in connection with possible opportunities at those affiliates.  Job Segment: Database, Developer, Electrical, Engineer, Computer Science, Technology, Engineering"
2768,2768,ai machine learning developer,Algorithm Developer – 3 Month Term,"Calgary, AB",    Onstream Pipeline Inspection Services,https://ca.indeed.com/viewjob?jk=07473f72de4d872a,"Who We AreAt Onstream Pipeline Inspection Services Inc., we utilize advanced technologies to provide reliable and accurate pipeline inspection results to oil & gas producers and pipeline operators working in the North American marketplace, with a focus on continual technological and software advancement.We have experienced incredible growth over the past few years thanks to our brilliant team of talented designers, programmers, and technicians. We have created cutting edge technology that make us one of the most versatile, responsive and agile players in the market, and we’re just getting started!We are currently seeking an Algorithm Developer to join our dynamic Algorithm duo on the Technology team. This is a 3 month term position with possibility to extend. We will be filling this position quickly so please submit your resume ASAP!YouYou are a versatile and skilled analytical professional with a passion for solving complex problems with innovative solutions. You are comfortable with all concepts of MFL signal processing and have a passion for software and development. You are comfortable with your skills and knowledge and have the energy and drive to work through challenges to develop a reliable solution.Essential FunctionsDevelop and improve MFL metal loss sizing algorithms utilized in the pipeline inspection industryEnhance search algorithms utilized in automatic feature recognition and identification processesAnalyze feature excavation results and incorporate this information into sizing modelsImprove and develop pipeline geometry analysis including dent and bend strain analysisEnhance test feature set to meet development needsWork with software programmer to implement, test and verify functionalityExperience / Skill SetUniversity Degree in Engineering, Mathematics or PhysicsSelf-Driven: Ability to work diligently and achieve results with minimal supervision2+ years industry experience with algorithm and signal processing techniquesStrong background in mathematics and signal processingFluent in MATLAB or Python or similar high-level prototyping languageKnowledge in Neural networks/AI/ML (Machine Learning)Digital Signal/Image processing knowledgeRelational database technologies (schema design and DB programming)Strong communications skillsProblem SolverJob Types: Full-time, TemporaryExperience:algorithm and signal processing: 2 yearsEducation:Bachelor'sLocation:Calgary, AB"
2894,19,ai machine learning developer,Intermediate and Senior-level Full Stack Developers,Calgary,Solium,https://stackoverflow.com//jobs/170441/intermediate-and-senior-level-full-stack-solium,"About this job Location options: Paid relocationJob type: Full-timeExperience level: Mid-Level, SeniorRole: Full Stack DeveloperIndustry: Financial Services, FinTech, SaaSCompany size: 501-1k peopleCompany type: PublicTechnologies java, spring, rest Job description ob description Solium needs Intermediate and Senior-level Full Stack Developers who want to write great programs. Do you want to work with a system that gets a half million logins from one hundred thousand users per month? How about write code for an industry-leading financial services platform that transacts more than ten billion dollars a year? Do you think it would be cool to be a part of the team that expands this platform to transact one trillion dollars for ten million users?  Have you ever wanted to be in a Guild?  Have you yearned to hear ""that sounds great go ahead and try it out""?You aren't dogmatic; you're pragmatic. You know that ""agile"" means adapting to deliver value to customers, not necessarily any of the individual practices surrounding it. You care about automated tests and code reviews, and when the build breaks, you don't run git blame. You find the root cause and fix it. You embrace the hard problems like localization, security, and timezones. You want to move our code, style and performance in the right direction and be an influencer.It doesn't matter if it's Ant or Gradle, Struts or Spring, jQuery or GWT - you know it or you can pick it up. You aim to build commercial products that people use - technology is just a means to an end. We are looking for developers of all experience levels to help us build a fast, reliable, secure, and resilient enterprise platform on a global scale.Things we believe:  Results matter, not the clock.     Code and technology are what we use to solve problems, not the whole of our job. Continuously Improving, learning everyday through pairing, Lunch and Learns and mentorship.      You are passionate about about what you do and you take pride in your craft. Great programmers are great programmers whether they work in Java, .Net, React Native or C++ Free tools are great unless they aren't the best. We use high-end Linux workstations with big monitors and tools like IDEA, JRebel and the Atlassian suite to keep us in the zone.  Skills & Requirements Things we like:    Prior experience with production large-scale distributed systems Familiarity with technologies we use (Java, Spring, GWT, Struts, JPA, EJB, REST)      A hunger for tracking down root causes - no matter how deep the rabbit hole       A BS in CS is appreciated but not necessary with the right background  What you'll do:  Be customer focused - learn about the business to help bring value to our customers Act technology driven - design, implement, and test new functionality    Work closely with QA - we fix our own bugs       Work with Product Management to deliver material value to our clients      Do full stack dev from the DB to the UI       Use your experience to help the whole team get better  What you'll get:           Market rate salary based on experience          An amazing on-boarding experience on Shareworks, Dev Culture, How we do things and even ""reforming"" you from .Net to Java           Participation in annual bonus plan and stock incentives   Share Purchase Plan with company contributions (we are public and profitable!)            Casual Environment - we aren’t a bank, they just happen to be clients 20 Paid Days off + 11 stat holidays (and 5 week sabbatical after 5 years) The occasional spontaneous Nerf War Relocation Assistance available for the right candidates  If you've read this far and you're thinking ""I want to be a part of this"", we agree! Just send an email to dev-careers@solium.com with Intermediate OR Senior Dev Applicant in the subject and we'll talk about how your career is about to get better. These jobs are full time positions in Calgary, Alberta, Canada.  In addition to being a Canadian citizen or having permanent resident status, you must live in Calgary or be willing to move. "
2895,20,ai machine learning developer,Front End Developer for Canada's fastest growing ticketing company,Calgary,Showpass,https://stackoverflow.com//jobs/164767/front-end-developer-for-canadas-fastest-growing-showpass,"About this job Compensation: EquityJob type: Full-timeExperience level: Mid-Level, SeniorRole: Frontend DeveloperIndustry: Entertainment, Software Development, TicketingCompany size: 11-50 peopleCompany type: VC FundedTechnologies angularjs, angular-material, sass, angular-ui-bootstrap, ionic-framework Job description THE ROLE: Front End Developer (full-time permanent role) THE LOCATION: Calgary, Alberta THE PERKS:  A unique and fun place to work – flexible hours and vacation policy, in-house chef, fully stocked snack and fresh pressed juice bar, gym membership, dog-friendly office Competitive compensation and benefits package  THE RESPONSIBILITIES:  Work closely with the UX/UI designers and development team to effectively convey product vision and release new features Create, improve and use wireframes, prototypes, style guides, user flows, and efficiently develop UI components for new features Create and improve strategic design and user experience for new and existing features Work closely with clients to create and improve client websites through integrating the Showpass SDK and Wordpress plugin Identify and resolve design/ui/ux problems or inconsistencies Keep up to date with the latest changes in the industry’s standards Take a user-centered design approach and promptly test and iterate your designs Collaborate with other team members and stakeholders  THE QUALIFICATIONS:  Post-secondary education in a Computer/Engineering/Media/Design related field Minimum 5 years work experience with front end development Must have experience working with the following technologies:  AngularJS, Angular Material, Javascript, jQuery, SCSS, Bootstrap, Ionic  Experience working with the following technologies would be an asset:  Python, Django, Swift or similar (Flask, Rails, Node.js, Go)  Experience creating prototypes, storyboards, user flows, etc. Strong problem solving, testing and debugging skills Analytical thinker with the ability to problem solve in a fast-paced work environment Must have a clear understanding of the importance of user-centered design Be passionate about all things UI/UX and other areas of development and innovation Research and showcase knowledge in the industry’s latest trends and technologies Exude confidence when collaborating and communicating closely with teams and other stakeholders to regularly deliver design solutions for approval Be willing to learn from and share knowledge/experience with the rest of the team Ability to champion new ideas and develop creative approaches Must have the hustle and drive to take initiative and make things happen!  NOTE: We will only contact qualified candidates of interest "
2896,21,ai machine learning developer,QA Manager,Calgary,3ES Innovation Inc.,https://stackoverflow.com//jobs/162491/qa-manager-3es-innovation-inc,"About this job Job type: Full-timeExperience level: Mid-Level, ManagerRole: QA/Test DeveloperIndustry: Computer Software, Oil & GasCompany size: 51-200 peopleCompany type: PrivateTechnologies javascript, reactjs, sass, c# Job description Company Background: 3esi-Enersight is the leading global provider of solutions for integrated planning in upstream oil and gas. Our software connects all E&P data and workflows from strategy to execution through innovative technology, expert consulting and first-rate customer service. 3esi-Enersight is a dynamic and innovative place to work. With both staff and customers located all over the world, every day is filled with new and exciting challenges. 3esi-Enersight promotes and encourages its staff to think outside of the box and places a high value on innovation and creative problem solving. Position Summary: The QA Manager is accountable for maintaining a high standard of quality across our products by working with the Development Team Leads to ensure that efficient and effective quality assurance practices are applied. The QA Manager is also responsible for supporting, mentoring and the professional development of the Quality Assurance Analysts and is required to manage the allocation of QA resources across seven development teams. The successful candidate also contributes to testing efforts on an as-needed basis.  Key Responsibilities:  Support, mentor and ensure quality professional development of the Quality Assurance Analysts Provide technical expertise and best practices to the QA team Continually seek to improve the effectiveness and efficiency of the quality assurance processes Ensure consistency of quality assurance practices across the development teams Identify test automation opportunities Incorporate on-premise and outsourcing/crowdsourcing resourcing to increase efficiency and reduce cost without sacrificing quality and creating development impediments Contribute to testing efforts when needed   Key Competencies:  Excellent written and verbal communication and interpersonal skills. Ability to build and lead a team of quality assurance experts Deep understanding of testing methodologies, technology, tools and practices Good understanding of CI/CD pipelines Experience delivering high quality software products using different delivery models: desktop, on-premise, hosted, and SaaS  Qualifications:  Bachelor’s degree in a related field and/or equivalent combination of education and experience. Minimum of 5 years of experience in a QA role Minimum of 3 years of experience managing a team Upstream Oil and Gas experience is an asset. Experience managing a QA process that incorporated outsourced/crowdsourced QA is an asset   Position Details:  Full time opportunity Location: Calgary Start: Immediately  "
2897,22,ai machine learning developer,Senior iOS Developer,Calgary,Robots & Pencils ,https://stackoverflow.com//jobs/164653/senior-ios-developer-robots-pencils,"About this job Job type: Full-timeExperience level: SeniorRole: Mobile DeveloperIndustry: frontier technology, Innovation, Mobile DevelopmentCompany size: 51-200 peopleCompany type: PrivateTechnologies ios, swift, objective-c Job description At Robots and Pencils, we’re expanding and looking for an iOS Developer to join our talented and world class robot team. What do we mean by world class? You’ll get to work with one of the developers who built udacity, and with former lead engineers from major tech companies like Yahoo, Apple, and Google. Who you are: You are someone who prefers to communicate through code. You love to create and have a strong desire to learn. In fact, you’re the first to rattle off which WWDC video would help your coworker. You can speak to language best practices, understand when it’s reasonable to swizzle methods, have a strong understanding of generics and protocol oriented programming, and know the advantages and tradeoffs between closure/blocks and delegates. You’re also diligent about meeting allocated budgets and can work within time constraints, but you will never sacrifice quality. On top of this, you are comfortable working in cross-functional teams and can share insights and expectations with stakeholders, Clients, team members, and various levels of management. What you’ll do:  Design, program and test software. Author and maintain relevant documentation for developers, Clients, and users. Develop and refine prototypes to confirm requirements. Program according to project plans (versions, sprints). Lead release and post-release activities, such as support, versioning, and maintenance. Collaborate with our pencils (designers) to create interfaces that conform to Apple’s Human Interface Guidelines. Peer review other team members’ code, and learn and adapt from peer review of your own code. Support sales and project managers with technical insights, leading to the creation of budgets and schedules for projects.  "
2898,23,ai machine learning developer,Senior Android Developer,Calgary,Robots & Pencils ,https://stackoverflow.com//jobs/164655/senior-android-developer-robots-pencils,"About this job Job type: Full-timeExperience level: Mid-Level, SeniorRole: Mobile DeveloperIndustry: frontier technology, Innovation, Mobile DevelopmentCompany size: 51-200 peopleCompany type: PrivateTechnologies android, version-control, java, android-studio, mvp Job description At Robots and Pencils, we’re expanding and looking for a Senior Android Developer to join our talented and world-class robot team.  Who you are: You are someone who prefers to communicate through code.  You love to create and have a strong desire to learn. You have strong opinions but that are weakly held; you are humble yet confident. In fact, you’re the first to pass along the latest headache-busting library from Square to your colleagues just minutes after sending a link to a mind clarifying blog post from Romain Guy. You can speak to language best practices and are not afraid of anonymous inner classes. You never overlook the saved instance state and have contemplated the tradeoffs between activities, fragments, and views. You have knowledge of how a RESTful web service works, what makes it RESTful and how it can be accessed from Android. You are also diligent about meeting allocated budgets and can work within time constraints, but you will never sacrifice quality. What you’ll do:  Design, program and test software. Author and maintain relevant documentation for developers, clients and users. Develop and refine prototypes to confirm requirements. Program according to project plans (versions, sprints). Test according to pre-determined test plans. Support release and post-release activities, such as support, versioning and maintenance. Collaborate with our pencils (designers) to create interfaces that conform to the Google design guidelines. Peer review other team members’ code, and learn and adapt from peer review of your own code. Support sales and project managers with technical insights, leading to the creation of budgets and schedules for projects.  REQUIREMENTS  10+ years of delivering software with preference given to those who have a degree in Computer Science, Computer Engineering or equivalent Solid understanding and practical knowledge of the full mobile development and application lifecycle Solid understanding of Android UX/UI guidelines and best practices Experience with Android using Android Studio and JAVA Experience with a distributed Version Control System Experience with mobile development issues related to performance optimization, caching and security Familiar with Architecture patterns (MVP/ MVVM etc.) Excellent communications skills with the ability to share insights and expectations with clients, stakeholders, and colleagues, both locally and remotely.  "
2899,24,ai machine learning developer,Software Development Manager,Calgary,Solium,https://stackoverflow.com//jobs/174795/software-development-manager-solium,"About this job Location options: Paid relocationJob type: Full-timeExperience level: ManagerIndustry: Financial Services, FinTech, SaaSCompany size: 501-1k peopleCompany type: PublicTechnologies java Job description About SoliumSolium is fulfilling a vision of becoming the global leader in equity-based (stock) incentive and share purchase savings plan management. We specialize in the delivery of complete web-based services for the full lifecycle of equity-based incentive and savings plans. Through our technically advanced Solium Shareworks™ platform, Solium is setting the industry’s service standard for the administration and execution of all types of equity-based incentives and savings plans.Why work at SoliumSolium is a fast growing company where every member of our team is important to our success. If you have an unfailing commitment to excellence, alignment to customer interests, and strong problem-solving skills, Solium would welcome your contribution to our enthusiastic team. We reward our people with a competitive compensation and benefits package. We currently have a full-time, permanent opportunity for:Software Development ManagerSolium is looking for a helms-person to help pilot their financial services Death Star through more than $10,000,000,000 of transactions per year.         If you:  Are a leader who believes in leader-leader self-organizing teams and is willing to work on that evolution Are a coach who supports broad growth because you know that developers have careers and not just jobs   Are a pragmatic problem solver who can identify process inefficiencies and find creative ways to eliminate them Are excited by the challenge of helping us evolve from a midsize SaaS application to a global enterprise platform  Then we are looking for you!We are big fans of Turn the Ship Around! by L. David Marquet, and are working to build and reinforce a culture of action and ownership. You will help foster leadership through all levels of the organization. You are not a master developer, but have a strong technical background and familiarity with patterns and practices. You know that agile is a description, not a dogma, and that continuous improvement is achievable.Requirements:  Foster a team culture that encourages ownership, continual learning, and customer delight Provide hands-on coaching and mentoring to Software  Developers for technical and soft skill growth Work with product owners and clients to contribute to strategic growth of the platform Remove barriers to keep product teams close to the client and product to find value in what we build   Champion product ownership and spread leadership throughout the team Ruthlessly identify process weakness and build and use metrics to drive improvement Take a lead role in recruiting and hiring Software Developers Familiarity with the enterprise Java technology stack. While we are not dogmatic about what technologies we use, this is the one we are using right now. Help lead the team to balance commercial viability, scalability, security, and technical innovation to evolve the Shareworks platform  Qualifications:  Bachelors of Science in Computer Science, or Equivalent experience Familiarity with development and deployment of enterprise applications Working knowledge of management techniques and strategies 8+ years’ experience as a developer or engineer      5+ years’ experience as a development or engineering team lead (or other technical management)  If you've read this far and you're thinking ""I want to be a part of this"", we agree! Just send an email to dev-careers@solium.com with Software Development Manager in thesubject and we'll talk about how your career is about to get better.​​ "
2900,25,ai machine learning developer,Mobile Application Developer for Canada's fastest growing ticketing company,Calgary,Showpass,https://stackoverflow.com//jobs/150066/mobile-application-developer-for-canadas-fastest-showpass,"About this job Compensation: EquityJob type: Full-timeExperience level: Junior, Mid-Level, SeniorRole: Mobile DeveloperIndustry: Entertainment, Software Development, TicketingCompany size: 11-50 peopleCompany type: VC FundedTechnologies swift, kotlin, objective-c, java, javascript Job description THE ROLE: Mobile Application Developer (full-time permanent role) THE LOCATION: Calgary, Alberta THE PERKS:  A unique and fun place to work – flexible hours and vacation policy, in-house chef, fully stocked snack and fresh pressed juice bar, gym membership, dog-friendly office. Competitive compensation and benefits package  THE RESPONSIBILITIES:  Build new apps using Swift and Kotlin with AR features Deliver the best user experience to meet the needs of current users and gain new users Integrate peripheral hardwares to mobile application Work closely with backend developers and UX designers to effectively build app features Manage app releases on App Store and Google Play Troubleshoot and debug apps Participate in routine standups, code reviews and testing parties Write clean code in a testable, reliable and sustainable way  THE QUALIFICATIONS:  Post secondary education in engineering or computer science would be an asset  Experience with published apps is required Experience with the following technologies is required: Objective C or Java, Javascript, HTML and CSS, REST API, Git and Github, Unit testing Experience with the following technologies would be an asset: Swift, Kotkin, continuous integration, ARKit/ARCore Experience working in a technology or software company would be an asset Excellent verbal and written communication skills Strong testing and debugging skills Must work great in a team and also as an individual contributor Ability to champion new ideas and develop creative approaches Analytical thinker with the ability to problem solve in a fast-paced work environment Must have the hustle and drive to take initiative and make things happen!  NOTE: We will only contact qualified candidates of interest "
